id,effective_from,effective_to,creator_id,modifier_id,created,modified,polymorphic_ctype_id,type,status,year,number,position,title,image,tagline,comments,start_date,end_date,program_id,output_program_id,project_owner_id,data_custodian_id,site_custodian_id,team_list_plain,area_list_dpaw_region,area_list_dpaw_district,area_list_ibra_imcra_region,area_list_nrm_region,supervising_scientist_list_plain,research_function_id,keywords
1061,2023-06-30 17:24:52.306655+10:00,,87,87,2023-06-30 17:24:52.306680+10:00,2023-06-30 17:38:16.567833+10:00,30,2,active,2023,37,1000,<p>A partnership approach to filling key knowledge gaps on dugongs in northern Australia using novel technologies</p>,,,"<p>In Australia, the dugong is protected under the EPBC Act 1999 as a listed migratory, and listed marine species, it is also a <em>Matter of National Environmental Significance.</em> The dugong is culturally significant to the coastal Aboriginal and Torres Strait Islander peoples of northern Australia and has a high biodiversity value. This project includes five activities (two of which are exclusive to WA) that will contribute to addressing key knowledge gaps about the spatial and temporal patterns in the distribution, abundance, connectivity and health of dugong populations. The project is designed to inform management in several regions of high value habitat across northern Australia. Transversal to the activities described below is a strong partnership approach with Traditional Owners and members of the wider community. The project will be co-designed, co-produced and will co-deliver research and monitoring outputs. The studies will utilise and advance emerging technologies (e.g., aerial images collected from planes and drones, Artificial Intelligence, population genomics) with the ultimate goal of enhancing data quality, reducing research and monitoring costs, and increasing accessibility of monitoring tools to non-experts.</p>
<p>the five activiteis are:</p>
<ol>
<li>Assessing trends in the distribution and abundance of dugongs during the transition to imagery surveys along the eastern coast of Queensland</li>
<li>Assessing the trends in the distribution and abundance of dugongs during the transition to imagery survey in the Shark Bay and Ningaloo/Exmouth Gulf area</li>
<li>Using population genomics approaches to identify populations and their level of connectivity across northern Australia</li>
<li>Assessing the body size and body condition of dugongs using drone-based photogramme</li>
<li>Developing community-led dugong monitoring with traditional owners in the Kimberley region.</li>
</ol>
<p>Activities 2 and 5 are exclusive to WA and led by the Marine Science Program with collaborators in the respective regions and at JCU.&nbsp;</p>
<p>&nbsp;</p>",2024-01-01,2027-06-30,9,1,307,307,,"H Raudino, K Crook, K Waples",,,,,H Raudino,7,
232,2014-06-05 20:29:32.334000+10:00,,100000,1,2014-06-05 20:29:32.334000+10:00,2018-10-15 16:52:06.490159+11:00,25,0,completed,2008,4,1000,<p>Murdoch University - Paul Webala - Bat project </p>,,,,2008-01-01,2010-12-31,7,1,24,,,A Wayne,,,,,A Wayne,,
247,2014-06-05 20:29:32.896000+10:00,,100000,1,2014-06-05 20:29:32.896000+10:00,2018-10-15 16:52:02.965467+11:00,26,3,completed,2012,213,1000,"<p>Monitoring coral size-frequency distribution, an investigation into digital methods</p>",,,,2012-01-01,,9,1,151,,,S Field,,,,,S Field,7,
478,2015-10-05 18:33:31.874667+11:00,2020-07-08 09:23:15.151667+10:00,60,1,2015-10-05 18:33:31.874701+11:00,2020-07-08 09:24:59.637260+10:00,25,0,terminated,2015,18,1000,<p>Identification of threats and critical aspects of the ecology of the threatened Pilbara Olive Python (<em>Liasis olivaceus barroni</em>) to aid management.</p>,projects/2015-18/Pilbara Olive Python in the Ord Ranges1_1.jpg,"<p>This project seeks to understand the threats to the Pilbara Olive Python, a large and elusive ambush predator, and to determine actions to ensure its continued survival across the Pilbara landscape.&nbsp;</p>",,2016-01-01,2021-01-01,5,1,60,60,,,"Pilbara, Midwest",,"Pilbara, Murchison",Rangelands,,1,
245,2014-06-05 20:29:32.854000+10:00,,100000,1,2014-06-05 20:29:32.854000+10:00,2018-10-15 16:52:03.021489+11:00,26,3,completed,2012,208,1000,"<p>The genetics, essential oil composition and factors controlling the biosynthesis of sesquiterpenes in Western Australian sandalwood </p>",,,,2010-01-01,2014-12-31,4,1,6,,,M Byrne,,,,,M Byrne,,
694,2018-07-16 15:42:12.485669+10:00,,100523,100934,2018-07-16 15:42:12.485715+10:00,2023-06-13 14:10:32.877141+10:00,29,0,updating,2018,60,1000,<p>Orchid conservation and recovery</p>,projects/2018-60/Cbuss.jpg,"<p>Conservation of Western Australia's diverse orchid flora through <em>ex situ</em> seed and fungal banking, cryostorage, propagation and seed orcharding, and integrated conservation research.</p>",,,,17,1,100523,100523,,"B Davis, J Stevens","Wheatbelt, Swan, South Coast, South West, Warren","Moora, Central Wheatbelt, Swan Coastal, Perth Hills, Blackwood, Donnelly","Geraldton Sandplains, Avon Wheatbelt, Swan Coastal Plain, Jarrah Forest, Mallee, Esperance Plains, Warren","Northern Agricultural, Avon, Swan, South West, South Coast",J Stevens,2,"<p>orchid, conservation, seed bank, mycorrhiza, cryostorage</p>"
510,2016-06-17 17:39:03.012111+10:00,,142,100934,2016-06-17 17:39:03.012142+10:00,2022-10-26 13:31:20.593615+11:00,26,3,completed,2016,25,1000,<p>Evidence based management of foxes adjacent to turtle beaches in Western Australia</p>,projects/2016-25/Fox_camera_trap_(11)_1_1.jpg,<p>Fox at Mundabullangana Station.</p>,,2016-04-03,2019-10-02,9,1,142,142,,S Whiting,Pilbara,,"Pilbara, Pilbara (Nearshore)",,S Whiting,1,"<p>turtle, predation, management, control</p>"
445,2014-06-26 14:53:35.213000+10:00,,24,1,2014-06-26 14:53:35.213000+10:00,2018-10-15 16:51:57.357497+11:00,26,3,completed,2014,12,1000,"<p>An exploration of the associations between the population decline of <em>Bettongia penicillata ogilbyi</em> (Gray, 1837) and field health assessment data from the Upper Warren region Western Australia</p>",,<p>Michaela Pleitner</p>,<p>Student: Michaela Pleitner Academic:Dr. Dieter Mahsberg</p>,2014-04-01,2014-12-01,5,1,24,24,24,A Wayne,,,,,A Wayne,1,
350,2014-06-05 20:29:37.167000+10:00,,100000,1,2014-06-05 20:29:37.167000+10:00,2018-10-15 16:52:00.077540+11:00,30,2,active,2012,483,1000,<p>Susceptibility of frogs to declining rainfall in a biodiversity hotspot</p>,projects/2012-483/crinpse3.jpg,,,,,3,1,99,,,M Cowan,,,,,M Cowan,,
313,2014-06-05 20:29:35.787000+10:00,,100000,1,2014-06-05 20:29:35.787000+10:00,2018-10-15 16:52:01.121594+11:00,30,2,completed,2012,444,1000,<p>Kimberley islands biological survey - Indigenous liaison and participation </p>,,,,,,3,1,93,,,"L Gibson, N McKenzie",,,,,L Gibson,,
